anthracis_accession,anthracis_prop,bacillus_depth,bases,color,coverage,fp,genus,group,lab_name,mean_depth,median_depth,n_markers,n_markers_detected,n_reads,name,near_neighbor,organism,prop_markers_detected,refcenter,refname,sample_name,species,species_group,spike_level,tax_id,uuid
SRR2155545,0.18024101,64.5,2127848958,#D62E00,425.5697916,BA_panel_results/SRR2155545.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,11.62554517,11,1605,1497,18659,,,Bacillus anthracis,0.93271028,San Diego State University,GSM1820045,BBG,Bacillus anthracis,Bacillus anthracis,,1392,cf61b1614a554cba
SRR2155543,0.425936091,966.25,4719919380,#D62E00,943.983876,BA_panel_results/SRR2155543.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,411.5607477,412,1605,1528,660555,,,Bacillus anthracis,0.952024922,San Diego State University,GSM1820045,BBG,Bacillus anthracis,Bacillus anthracis,,1392,a09ea851c55f43b1
SRR2155542,0.685081343,5.625,43215848,#D62E00,8.6431696,BA_panel_results/SRR2155542.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,3.853582555,4,1605,1461,6185,,,Bacillus anthracis str. Turkey32,0.910280374,San Diego State University,GSM1820045,BBE,Bacillus anthracis,Bacillus anthracis,,1452727,5b461237d44c42af
SRR2155541,0.56397119,531.625,3531607600,#D62E00,706.32152,BA_panel_results/SRR2155541.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,299.8211838,312,1605,1536,481213,,,Bacillus anthracis str. Turkey32,0.957009346,San Diego State University,GSM1820045,BBE,Bacillus anthracis,Bacillus anthracis,,1452727,34985f33c5724db5
SRR2145877,0.447045329,628.75,3570485600,#D62E00,714.09712,BA_panel_results/SRR2145877.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,281.0797508,394,1605,1152,451133,,,Bacillus anthracis,0.717757009,San Diego State University,GSM1820045,BHF_1,Bacillus anthracis,Bacillus anthracis,,1392,408ab894c0e34574
SRR1993644,0.523626665,206.75,962500003,#D62E00,192.5000006,BA_panel_results/SRR1993644.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,108.2598131,110,1605,1505,173757,,,Bacillus anthracis,0.937694704,San Diego State University,WAPHL-YPT-A00006,BDS,Bacillus anthracis,Bacillus anthracis,,1392,e09f43e2d5354178
SRR1776687,0.815252336,6.25,55216960,#D62E00,11.043392,BA_panel_results/SRR1776687.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,5.095327103,5,1605,1568,8178,,,Bacillus anthracis,0.97694704,San Diego State University,GSM1565256,BBF,Bacillus anthracis,Bacillus anthracis,,1392,f1c6a780d9324e56
SRR1318540,0.685316857,75.25,559857592,#D62E00,111.9715184,BA_panel_results/SRR1318540.fastq.gz,Bacillus,Bacillus anthracis,Center for Microbial Genetics & Genomics,51.57009346,54,1605,1509,82770,,,Bacillus anthracis,0.940186916,NAU,A0149,BaA0149,Bacillus anthracis,Bacillus anthracis,,1392,4f87f456564443e9
SRR1285612,0.512487429,261.375,1352848136,#D62E00,270.5696272,BA_panel_results/SRR1285612.fastq.gz,Bacillus,Bacillus anthracis,Center for Microbial Genetics & Genomics,133.9514019,140,1605,1507,214992,,,Bacillus anthracis,0.93894081,NAU,A0897,BaA0897,Bacillus anthracis,Bacillus anthracis,,1392,3c59e29cdfc048da
SRR1285612,0.095776647,9.875,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR1285612.10000000bp.fastq,,Mixed samples,,0.945794393,1,1605,934,1518,,Present,,0.581931464,,,,,,2,,d1e9311de65b493e
SRR1285612,0.016400362,7.75,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR1285612.1250000bp.fastq,,Mixed samples,,0.127102804,0,1605,187,204,,Present,,0.116510903,,,,,,0.25,,29785ff86843473f
SRR1285612,0.030443326,8.125,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR1285612.2500000bp.fastq,,Mixed samples,,0.247352025,0,1605,349,397,,Present,,0.217445483,,,,,,0.5,,76edb54e6cf44bf9
SRR1285612,0.046068158,8.25,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR1285612.3750000bp.fastq,,Mixed samples,,0.380062305,0,1605,497,610,,Present,,0.309657321,,,,,,0.75,,9ce721f0d366431c
SRR1285612,0.056143994,9,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR1285612.5000000bp.fastq,,Mixed samples,,0.50529595,0,1605,620,811,,Present,,0.386292835,,,,,,1,,b29bfe8016924ead
SRR1285612,0.006147456,7.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR1285612.500000bp.fastq,,Mixed samples,,0.046105919,0,1605,73,74,,Present,,0.045482866,,,,,,0.1,,0b481e21212e4fa8
SRR2075979,0.101121495,10,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2075979.10000000bp.fastq,,Mixed samples,,1.011214953,1,1605,948,1623,,Present,,0.590654206,,,,,,2,,60ec09d2208f4d3c
SRR2075979,0.019356179,7.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2075979.1250000bp.fastq,,Mixed samples,,0.14517134,0,1605,221,233,,Present,,0.137694704,,,,,,0.25,,74eda9612a984152
SRR2075979,0.035136101,7.625,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2075979.2500000bp.fastq,,Mixed samples,,0.267912773,0,1605,367,430,,Present,,0.228660436,,,,,,0.5,,bc36bbca388b4658
SRR2075979,0.047975078,8,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2075979.3750000bp.fastq,,Mixed samples,,0.383800623,0,1605,500,616,,Present,,0.31152648,,,,,,0.75,,94eac4d020014c8b
SRR2075979,0.057356991,8.625,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2075979.5000000bp.fastq,,Mixed samples,,0.49470405,0,1605,599,794,,Present,,0.373208723,,,,,,1,,74d6e50f48ae4653
SRR2075979,0.008058152,7.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2075979.500000bp.fastq,,Mixed samples,,0.060436137,0,1605,94,97,,Present,,0.058566978,,,,,,0.1,,1257716fa04e4328
SRR2094250,0.095302181,9.375,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094250.10000000bp.fastq,,Mixed samples,,0.893457944,1,1605,885,1434,,Present,,0.551401869,,,,,,2,,3f9f5fe7d9734df3
SRR2094250,0.014162093,7.875,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094250.1250000bp.fastq,,Mixed samples,,0.11152648,0,1605,163,179,,Present,,0.101557632,,,,,,0.25,,930d0ee1a61a44d5
SRR2094250,0.027145938,8.125,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094250.2500000bp.fastq,,Mixed samples,,0.220560748,0,1605,306,354,,Present,,0.190654206,,,,,,0.5,,a784865c01144cb4
SRR2094250,0.040315191,8.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094250.3750000bp.fastq,,Mixed samples,,0.342679128,0,1605,455,550,,Present,,0.283489097,,,,,,0.75,,2953293c05da4662
SRR2094250,0.05262965,8.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094250.5000000bp.fastq,,Mixed samples,,0.447352025,0,1605,566,718,,Present,,0.352647975,,,,,,1,,6fb3f014a5c543e9
SRR2094250,0.007190644,7.625,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094250.500000bp.fastq,,Mixed samples,,0.05482866,0,1605,83,88,,Present,,0.051713396,,,,,,0.1,,0a2f5c649d5e43ca
SRR2094261,0.104874968,9.25,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094261.10000000bp.fastq,,Mixed samples,,0.970093458,1,1605,909,1557,,Present,,0.56635514,,,,,,2,,23781b46233e45a8
SRR2094261,0.014252336,8,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094261.1250000bp.fastq,,Mixed samples,,0.114018692,0,1605,171,183,,Present,,0.106542056,,,,,,0.25,,7464000d88034d4f
SRR2094261,0.029755499,8.25,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094261.2500000bp.fastq,,Mixed samples,,0.245482866,0,1605,323,394,,Present,,0.201246106,,,,,,0.5,,a1e66f422bcc48f6
SRR2094261,0.043027304,8.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094261.3750000bp.fastq,,Mixed samples,,0.365732087,0,1605,442,587,,Present,,0.275389408,,,,,,0.75,,68a7eb56b10f4b56
SRR2094261,0.055928166,8.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094261.5000000bp.fastq,,Mixed samples,,0.475389408,0,1605,549,763,,Present,,0.342056075,,,,,,1,,d05fcef6cc7b4f35
SRR2094261,0.005998205,7.375,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094261.500000bp.fastq,,Mixed samples,,0.04423676,0,1605,69,71,,Present,,0.042990654,,,,,,0.1,,3f83394a40a94e18
SRR2094270,0.101978614,9.25,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094270.10000000bp.fastq,,Mixed samples,,0.943302181,1,1605,905,1514,,Present,,0.563862928,,,,,,2,,3d7b0556399b4df7
SRR2094270,0.016097237,7.625,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094270.1250000bp.fastq,,Mixed samples,,0.122741433,0,1605,175,197,,Present,,0.109034268,,,,,,0.25,,cd7a6236427246f8
SRR2094270,0.029504572,7.75,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094270.2500000bp.fastq,,Mixed samples,,0.228660436,0,1605,301,367,,Present,,0.187538941,,,,,,0.5,,7d260b6859954a53
SRR2094270,0.045638629,8,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094270.3750000bp.fastq,,Mixed samples,,0.365109034,0,1605,455,586,,Present,,0.283489097,,,,,,0.75,,1311fb85231d47ea
SRR2094270,0.057018786,8.25,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094270.5000000bp.fastq,,Mixed samples,,0.470404984,0,1605,565,755,,Present,,0.352024922,,,,,,1,,1892f38b0fbe4b74
SRR2094270,0.007518876,7.375,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2094270.500000bp.fastq,,Mixed samples,,0.055451713,0,1605,83,89,,Present,,0.051713396,,,,,,0.1,,251c767ca54f4748
SRR2145878,0.076358602,9,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2145878.10000000bp.fastq,,Mixed samples,,0.687227414,0,1605,640,1103,,Present,,0.398753894,,,,,,2,,0d134b2b35e9405c
SRR2145878,0.010377407,7.625,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2145878.1250000bp.fastq,,Mixed samples,,0.079127726,0,1605,117,127,,Present,,0.072897196,,,,,,0.25,,2c2908d09bde4e2b
SRR2145878,0.020412402,7.875,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2145878.2500000bp.fastq,,Mixed samples,,0.160747664,0,1605,221,258,,Present,,0.137694704,,,,,,0.5,,e9fa974592ce4190
SRR2145878,0.029906542,8,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2145878.3750000bp.fastq,,Mixed samples,,0.239252336,0,1605,320,384,,Present,,0.199376947,,,,,,0.75,,3ac795acb38c46df
SRR2145878,0.041409058,8.125,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2145878.5000000bp.fastq,,Mixed samples,,0.336448598,0,1605,410,540,,Present,,0.255451713,,,,,,1,,2ac453e16df74a83
SRR2145878,0.00490135,7.5,,#C43FE9,,BA_panel_results/soil.SRR351473.5M.Bt.SRR2147685.150K.SRR2145878.500000bp.fastq,,Mixed samples,,0.036760125,0,1605,56,59,,Present,,0.034890966,,,,,,0.1,,b8dc5399ba0a47ae
,8.17E-05,30.5,,#00BABA,,subway_samples/J train,,NYC Subway,,0.002492212,0,1605,4,4,PathoMAP - J Train,,,0.002492212,,,,,,,,9b78464d639843c1
,9.23E-05,6.75,,#00BABA,,subway_samples/Pelham,,NYC Subway,,0.000623053,0,1605,1,1,PathoMAP - Pelham Pkwy,,,0.000623053,,,,,,,,6b4d2231f74e4440
SRR351471,7.98E-05,15.625,79360430,#002DEA,15.872086,BA_panel_results/SRR351471.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.001246106,0,1605,2,2,,,Bacillus thuringiensis serovar berliner ATCC 10792,0.001246106,NMRC,bthur0008,NS1035,Bacillus thuringiensis,Other Bacillus,,527031,5c62671351ee4e3c
SRR351470,0,28.25,79360430,#002DEA,15.872086,BA_panel_results/SRR351470.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar berliner ATCC 10792,0,NMRC,bthur0008,NS1035,Bacillus thuringiensis,Other Bacillus,,527031,2ef8bdaf093940f8
SRR346903,0,26.5,217818633,#002DEA,43.5637266,BA_panel_results/SRR346903.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar sotto str. T04001,0,NMRC,bthur0004,NS3815,Bacillus thuringiensis,Other Bacillus,,527026,5d997e558df74ca1
SRR346808,6.31E-05,9.875,78793603,#002DEA,15.7587206,BA_panel_results/SRR346808.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.000623053,0,1605,1,1,,,Bacillus thuringiensis serovar huazhongensis BGSC 4BD1,0.000623053,NMRC,bthur0011,NS5010,Bacillus thuringiensis,Other Bacillus,,527030,3a8b7a5857444467
SRR346807,0,34.625,78793603,#002DEA,15.7587206,BA_panel_results/SRR346807.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar huazhongensis BGSC 4BD1,0,NMRC,bthur0011,NS5010,Bacillus thuringiensis,Other Bacillus,,527030,f3b0bfdcfbc44774
SRR346806,0.000488669,6.375,61388282,#002DEA,12.2776564,BA_panel_results/SRR346806.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.003115265,0,1605,2,5,,,Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1,0.001246106,NMRC,bthur0010,NS5009,Bacillus thuringiensis,Other Bacillus,,527029,f8ff5f918ec343ee
SRR346805,0.000119818,26,61388282,#002DEA,12.2776564,BA_panel_results/SRR346805.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.003115265,0,1605,4,5,,,Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1,0.002492212,NMRC,bthur0010,NS5009,Bacillus thuringiensis,Other Bacillus,,527029,1a79d66174144b98
SRR346804,0,29,178004481,#002DEA,35.6008962,BA_panel_results/SRR346804.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar andalousiensis BGSC 4AW1,0,NMRC,bthur0009,NS5008,Bacillus thuringiensis,Other Bacillus,,527032,5344bb14da294d3e
SRR346803,4.66E-05,13.375,178004481,#002DEA,35.6008962,BA_panel_results/SRR346803.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.000623053,0,1605,1,1,,,Bacillus thuringiensis serovar andalousiensis BGSC 4AW1,0.000623053,NMRC,bthur0009,NS5008,Bacillus thuringiensis,Other Bacillus,,527032,1d638bde15074985
SRR346802,0.000629611,11.875,63901186,#002DEA,12.7802372,BA_panel_results/SRR346802.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.007476636,0,1605,3,12,,,Bacillus thuringiensis serovar pulsiensis BGSC 4CC1,0.001869159,NMRC,bthur0012,NS5012,Bacillus thuringiensis,Other Bacillus,,527028,7218996544e74dfc
SRR346801,0.00065655,46.5,63901186,#002DEA,12.7802372,BA_panel_results/SRR346801.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.030529595,0,1605,4,49,,,Bacillus thuringiensis serovar pulsiensis BGSC 4CC1,0.002492212,NMRC,bthur0012,NS5012,Bacillus thuringiensis,Other Bacillus,,527028,a9a206905f254476
SRR346762,0,5.875,51211256,#002DEA,10.2422512,BA_panel_results/SRR346762.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis IBL 200,0,NMRC,bthur0013,NS5496,Bacillus thuringiensis,Other Bacillus,,527019,a07cce700ab24670
SRR346761,0,14.25,51211256,#002DEA,10.2422512,BA_panel_results/SRR346761.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis IBL 200,0,NMRC,bthur0013,NS5496,Bacillus thuringiensis,Other Bacillus,,527019,122ee6ea64714378
SRR346760,0,7.875,51211256,#002DEA,10.2422512,BA_panel_results/SRR346760.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis IBL 200,0,NMRC,bthur0013,NS5496,Bacillus thuringiensis,Other Bacillus,,527019,dcb821276fd34559
SRR346759,0,14.625,146501477,#002DEA,29.3002954,BA_panel_results/SRR346759.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis IBL 4222,0,NMRC,bthur0014,NS5497,Bacillus thuringiensis,Other Bacillus,,527020,85654b94413a45af
SRR346595,0,13.875,96167844,#002DEA,19.2335688,BA_panel_results/SRR346595.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar tochigiensis BGSC 4Y1,0,NMRC,bthur0001,NS5540,Bacillus thuringiensis,Other Bacillus,,527024,3297e1fdfe544a38
SRR346594,0,21.375,96167844,#002DEA,19.2335688,BA_panel_results/SRR346594.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar tochigiensis BGSC 4Y1,0,NMRC,bthur0001,NS5540,Bacillus thuringiensis,Other Bacillus,,527024,bd066864b3d04209
SRR346593,2.58E-05,24.125,114976882,#002DEA,22.9953764,BA_panel_results/SRR346593.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.000623053,0,1605,1,1,,,Bacillus thuringiensis Bt407,0.000623053,NMRC,bthur0002,NS3868,Bacillus thuringiensis,Other Bacillus,,527021,8e1fd43f4c2b44c5
SRR346592,0,28.125,114976882,#002DEA,22.9953764,BA_panel_results/SRR346592.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis Bt407,0,NMRC,bthur0002,NS3868,Bacillus thuringiensis,Other Bacillus,,527021,11f37a2445c04224
SRR346557,7.12E-05,8.75,54987505,#002DEA,10.997501,BA_panel_results/SRR346557.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.000623053,0,1605,1,1,,,Bacillus thuringiensis serovar monterrey BGSC 4AJ1,0.000623053,NMRC,bthur0007,NS3039,Bacillus thuringiensis,Other Bacillus,,527022,a87e82be025646e2
SRR346556,6.88E-05,18.125,54987505,#002DEA,10.997501,BA_panel_results/SRR346556.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0.001246106,0,1605,2,2,,,Bacillus thuringiensis serovar monterrey BGSC 4AJ1,0.001246106,NMRC,bthur0007,NS3039,Bacillus thuringiensis,Other Bacillus,,527022,2ca8dd4174e140f2
SRR346544,0,27,206411890,#002DEA,41.282378,BA_panel_results/SRR346544.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar pakistani str. T13001,0,NMRC,bthur0005,NS3021,Bacillus thuringiensis,Other Bacillus,,527027,3f35066ee26d489e
SRR346543,0,15.25,206411890,#002DEA,41.282378,BA_panel_results/SRR346543.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar pakistani str. T13001,0,NMRC,bthur0005,NS3021,Bacillus thuringiensis,Other Bacillus,,527027,c9ba1ce8c3c840a8
SRR343148,0,23.375,103275730,#002DEA,20.655146,BA_panel_results/SRR343148.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar kurstaki str. T03a001,0,NMRC,bthur0006,NS3004,Bacillus thuringiensis,Other Bacillus,,527023,8422b452875b4a0f
SRR343147,0,18,103275730,#002DEA,20.655146,BA_panel_results/SRR343147.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar kurstaki str. T03a001,0,NMRC,bthur0006,NS3004,Bacillus thuringiensis,Other Bacillus,,527023,7549020c1d2b4f10
SRR343133,0,17.5,152163481,#002DEA,30.4326962,BA_panel_results/SRR343133.fastq.gz,Bacillus,Other Bacillus,BDRD Genomics,0,0,1605,0,0,,,Bacillus thuringiensis serovar thuringiensis str. T01001,0,NMRC,bthur0003,NS3002,Bacillus thuringiensis,Other Bacillus,,527025,9e911908edc044a5
SRR2182158,inf,0,5423903212,#002DEA,1084.780642,BA_panel_results/SRR2182158.fastq.gz,Bacillus,Other Bacillus,Spatial Regulation of Genome,0.000623053,0,1605,1,1,,,Bacillus subtilis,0.000623053,San Diego State University,GSM1820045,3C subtilis,Bacillus subtilis,Other Bacillus,,1423,510e3106381f4b3d
SRR2176140,0.000177348,66.75,4802550800,#002DEA,960.51016,BA_panel_results/SRR2176140.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.011838006,0,1605,19,19,,,Bacillus cereus 03BB102,0.011838006,San Diego State University,GSM1820045,BFS,Bacillus cereus,Other Bacillus,,572264,85bdd4ba19564ba5
SRR2174500,0.000385269,25.875,885416946,#002DEA,177.0833892,BA_panel_results/SRR2174500.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.009968847,0,1605,16,16,,,Bacillus cereus ATCC 4342,0.009968847,San Diego State University,GSM1820045,BGM,Bacillus cereus,Other Bacillus,,526977,aabe23504ec64970
